country,total_events,remote_events,capital_remote_events,border_battle_events,fatalities,remote_share_pct,capital_remote_share_pct
Syria,123664,81012,921,15684,138670,65.51,1.14
Yemen,79486,47731,1439,2720,164256,60.05,3.01
Iraq,47231,30698,1381,4760,106035,65.0,4.5
Palestine,28669,18046,0,5977,57832,62.95,0.0
Sudan,24306,5476,987,5,135085,22.53,18.02
Lebanon,17219,15861,30,884,5213,92.11,0.19
Libya,9013,3660,831,69,22758,40.61,22.7
Turkey,6344,1727,1,2040,9614,27.22,0.06
Israel,5478,4795,7,376,1971,87.53,0.15
Egypt,5098,1865,102,749,12075,36.58,5.47
Saudi Arabia,3040,2325,12,461,6317,76.48,0.52
Algeria,2857,617,41,59,13573,21.6,6.65
Iran,1241,120,2,164,2060,9.67,1.67
Tunisia,717,227,9,120,672,31.66,3.96
Morocco,284,95,0,3,290,33.45,0.0
Jordan,142,28,0,83,153,19.72,0.0
Bahrain,83,15,0,0,11,18.07,0.0
United Arab Emirates,15,10,2,0,6,66.67,20.0
Oman,6,1,0,0,12,16.67,0.0
Kuwait,1,0,0,0,0,0.0,0
